categories,rating_count,rating_min,rating_max,rating_mean,rating_std
Diner,17102,1.0,5.0,3.9629283124780725,1.1345506709033104
Animal Hospital,17036,1.0,5.0,4.335407372622681,1.298652126261904
Supermarket,16512,1.0,5.0,3.809471899224806,1.3075026716320497
Grocery Store,16396,1.0,5.0,4.010124420590388,1.2400336286545184
Plumber,16084,1.0,5.0,4.524682914697836,1.1102054629873435
Professional Services,16058,1.0,5.0,4.341574293187197,1.2640803167761474
Oil Change Service,15865,1.0,5.0,4.087425149700599,1.4686104912202473
Honda Dealer,15765,1.0,5.0,4.437932128131938,1.2096970485257603
Brake Shop,15509,1.0,5.0,4.307111999484171,1.328790380697985
Delivery Restaurant,15434,1.0,5.0,3.5817027342231436,1.401729750627917
Apartment Building,15416,1.0,5.0,3.0860145303580695,1.5649407511175208
Toyota Dealer,15211,1.0,5.0,4.383538228913286,1.2671035780405737
South Asian Restaurant,15136,1.0,5.0,3.8876849894291756,1.2281540501085877
Lounge,14830,1.0,5.0,3.9429534726904922,1.157551027153315
Pharmacy,14759,1.0,5.0,3.583169591435734,1.4543619482142807
Family Restaurant,14625,1.0,5.0,3.9894017094017094,1.1938527031718396
Nail Salon,14461,1.0,5.0,4.028075513449969,1.4371720286522716
Banquet Hall,14418,1.0,5.0,3.979816895547233,1.2404906854304962
HVAC Contractor,14394,1.0,5.0,4.574475475892733,1.067728722641711
Live Music Venue,13730,0.0,5.0,4.016605972323379,1.1529607586807264
Fine Dining Restaurant,13199,1.0,5.0,4.172664595802712,1.0895464586426136
Ford Dealer,13100,1.0,5.0,4.3624427480916035,1.2904460168349368
Cocktail Bar,13094,1.0,5.0,4.04971742782954,1.115722057801016
Night Club,13003,1.0,5.0,3.764131354302853,1.2880000291297415
Gym,12923,1.0,5.0,3.9202197632128764,1.4584676508418954
Brewpub,12857,1.0,5.0,4.052656140623784,1.0436696823166813
Orthodontist,12592,1.0,5.0,4.75651207115629,0.8137423639648267
Mover,12159,1.0,5.0,4.615922362036351,1.01446834836431
Physician,12142,1.0,5.0,3.748641080546862,1.5792715794023613
Brewery,12011,1.0,5.0,4.2281242194654896,1.0224352424650283
Computer Repair Service,11896,1.0,5.0,4.464525891055817,1.1915715609520647
Convenience Store,11681,1.0,5.0,3.794195702422738,1.3621361669753191
Gift Shop,11629,0.0,5.0,4.219365379654312,1.1774672884566444
Barber Shop,11453,1.0,5.0,4.452719811403126,1.1286309735345208
Shopping Mall,11405,1.0,5.0,3.970802279701885,1.1851293153648703
Public School,11309,1.0,5.0,3.9816959943407904,1.383592107454905
Clothing Store,11143,1.0,5.0,3.9518980525890695,1.2450662768555887
Day Spa,11034,1.0,5.0,4.320645278230923,1.2415784288479015
Gas Station,10867,1.0,5.0,3.725407196098279,1.3813132951637095
Chevrolet Dealer,10848,1.0,5.0,4.392330383480826,1.2697501000135176
Health Club,10834,1.0,5.0,3.723924681558058,1.5061723746773843
ATM Location,10599,1.0,5.0,3.5673176714784414,1.4813337800822737
Air Conditioning Repair...,10435,1.0,5.0,4.5596550071873505,1.087842744203034
Massage Therapist,10349,1.0,5.0,4.53840950816504,1.071920045583142
Florist,10313,1.0,5.0,4.1057888102395035,1.431578374237821
Wine Bar,10050,1.0,5.0,4.195522388059701,1.03826666237604
Pet Groomer,9981,1.0,5.0,4.193467588417994,1.3788196749642867
Computer Store,9881,1.0,5.0,3.6010525250480723,1.5832929943140897
Resort,9517,1.0,5.0,3.980456026058632,1.278165852581432
Vegetarian Restaurant,9494,0.0,5.0,4.216452496313461,1.0128319297214379
Furniture Store,9374,1.0,5.0,3.7165564326861533,1.526671390713535
Optometrist,9262,1.0,5.0,4.410926365795724,1.2151197283366817
Property Management Company,9233,1.0,5.0,3.7120112639445466,1.633410044729486
Irish Pub,9104,1.0,5.0,3.9718804920913886,1.096207066956579
Catering,9067,1.0,5.0,4.09032756148671,1.1614165247870163
Wedding Venue,8737,1.0,5.0,4.130365113883484,1.1984094567837946
Tattoo Shop,8550,1.0,5.0,4.507134502923977,1.1356196972464334
Auto Tune Up Service,8539,1.0,5.0,4.378264433774446,1.2829040518097923
Campground,8469,1.0,5.0,4.058920769866572,1.2387232738023404
Nissan Dealer,8464,1.0,5.0,4.28319943289225,1.357086553403984
Extended Stay Hotel,8388,1.0,5.0,3.7471387696709586,1.3690040509027421
Bistro,8371,0.0,5.0,4.14359096882093,1.0465511234239513
Store,8316,1.0,5.0,4.084054834054834,1.2884726759073721
Greek Restaurant,8298,1.0,5.0,4.106531694384189,1.0764344375056407
Physical Fitness Program,8226,1.0,5.0,4.152078774617068,1.3794298391763975
Gun Shop,8178,1.0,5.0,3.862680361946686,1.4732870693148261
Hospital,8035,1.0,5.0,3.4969508400746734,1.602084903737283
Casino,8017,1.0,5.0,3.680928027940626,1.311787012666622
Transmission Shop,7992,1.0,5.0,4.32057057057057,1.3241260318570671
Non-Profit Organization,7978,1.0,5.0,4.156555527701178,1.3046364387906073
Bicycle Shop,7963,1.0,5.0,4.270249905814391,1.2639784700724774
Hardware Store,7931,1.0,5.0,3.917664859412432,1.3791473119632198
Bank,7916,1.0,5.0,3.5213491662455785,1.5799354677444353
Buffet Restaurant,7887,1.0,5.0,3.6345885634588564,1.3222229109764292
Discount Store,7855,1.0,5.0,3.126925525143221,1.438336796064886
Car Wash,7848,1.0,5.0,3.5510958205912333,1.5982145071295664
Pediatric Dentist,7846,1.0,5.0,4.681876115217945,0.9444725502429342
Medical Center,7770,0.0,5.0,3.6476190476190475,1.585312824897431
Brunch Restaurant,7761,1.0,5.0,4.131812910707383,1.0072005830407464
University,7691,1.0,5.0,4.232999609933689,1.2632890328915365
Car Detailing Service,7673,1.0,5.0,4.183239932229897,1.4023834849661214
Vietnamese Restaurant,7647,1.0,5.0,4.117693213024715,1.0512673186144124
Post Office,7618,1.0,5.0,2.6092150170648463,1.5726105658535814
Apartment Rental Agency,7613,1.0,5.0,3.375541836332589,1.6226897919971155
Museum,7607,1.0,5.0,4.3600630997765215,0.9775811435131724
Real Estate Agency,7476,1.0,5.0,4.11115569823435,1.4743573903060745
Medical Clinic,7456,1.0,5.0,3.810219957081545,1.5550899201852901
Auto Glass Shop,7381,1.0,5.0,4.401571602763853,1.251651579342885
Sporting Goods Store,7305,1.0,5.0,3.9336071184120467,1.3976000128030992
Dental Implants Periodontist,7272,1.0,5.0,4.753300330033003,0.8210392554302096
Espresso Bar,7261,1.0,5.0,4.424459440848368,0.911649128056778
College,7227,1.0,5.0,4.093953230939532,1.3501958195768822
Personal Trainer,7191,1.0,5.0,4.391739674593242,1.218852223296642
Restaurant or Cafe,7190,1.0,5.0,4.025312934631432,1.1504801350263059
Amusement Center,7081,1.0,5.0,3.9839005790142634,1.269601380233318
Car Service,6917,1.0,5.0,4.37227121584502,1.2696347791438531
Eye Care Center,6868,1.0,5.0,4.337216074548631,1.2729333594523813
Moving & Storage Service,6827,1.0,5.0,4.404716566573898,1.2195766249958244
Bridal Shop,6800,1.0,5.0,3.964264705882353,1.5088266224661666
Service Station,6792,1.0,5.0,3.653121319199058,1.4567213469343372
High School,6789,1.0,5.0,3.9080866106937693,1.4365712287481867
Carpet Cleaning Service,6680,1.0,5.0,4.647305389221557,0.9527740207582418
Pest Control Service,6608,1.0,5.0,4.6965799031477,0.8889141764926123
Middle Eastern Restaurant,6590,0.0,5.0,4.166919575113809,1.0649273157328736
Meeting Room,6502,1.0,5.0,3.981544140264534,1.2301514618572937
Car Rental Agency,6493,1.0,5.0,3.2759895271831203,1.6800186110487287
Performing Arts Theater,6471,1.0,5.0,4.33225158399011,0.989251281553801
Optician,6450,1.0,5.0,3.9390697674418607,1.476284558749963
Airport,6427,1.0,5.0,3.877703438618329,1.2084279014318227
Luxury Hotel,6412,1.0,5.0,4.080474111041797,1.1993912144919499
Entertainment and Recreation,6367,1.0,5.0,4.131459085911732,1.3034048035263117
Home Improvement Store,6355,1.0,5.0,3.654287962234461,1.4515288117203178
Spa,6314,1.0,5.0,4.22568894520114,1.2653238293071754
Church,6266,1.0,5.0,4.474146185764443,1.142539678319897
Donut Shop,6259,1.0,5.0,4.054002236779038,1.2746606867735408
Chicken Wings Restaurant,6202,1.0,5.0,3.799097065462754,1.2687347809748033
Pizza Delivery,5990,1.0,5.0,3.798664440734558,1.3164505800924156
Emergency Dental Service,5963,1.0,5.0,4.758343115881268,0.8154796850546426
Tourist Attraction,5814,1.0,5.0,4.324389404884761,1.0592462794885051
Tobacco Shop,5801,1.0,5.0,4.286329943113256,1.2552926547422343
Appliance Store,5781,1.0,5.0,3.4699878913682753,1.5950856025424258
Hyundai Dealer,5678,1.0,5.0,4.364388869320183,1.2992511107922624
Pet Store,5649,1.0,5.0,3.7868649318463445,1.5071468891208017
Historical Landmark,5583,1.0,5.0,4.406233207952714,0.942513076885889
Mattress Store,5551,1.0,5.0,4.072239236173663,1.43269619610136
Roofing Contractor,5531,1.0,5.0,4.545832580003616,1.0635444714968691
Truck Stop,5520,1.0,5.0,3.565760869565217,1.2929435372280698
Tea House,5459,1.0,5.0,4.324235207913537,0.9796485039429107
Towing Service,5417,1.0,5.0,3.973232416466679,1.5757063725357312
Bicycle Repair Shop,5394,1.0,5.0,4.311642565813867,1.2564042393359482
Women's Clothing Store,5389,1.0,5.0,4.01094822787159,1.2375852729505048
Eclectic Restaurant,5375,1.0,5.0,4.094511627906977,0.9800758054789237
Stadium,5371,1.0,5.0,4.4006702662446475,1.0005359445606263
Wine Store,5368,1.0,5.0,4.360096870342772,1.0556468641431118
Shoe Store,5327,1.0,5.0,4.005443964708091,1.276380811870091
Chrysler Dealer,5308,1.0,5.0,4.2466088922381315,1.3662455490619865
Bed & Breakfast,5264,1.0,5.0,4.552811550151976,0.9529416230037794
Video Game Store,5230,1.0,5.0,3.917017208413002,1.409471652823519
Volkswagen Dealer,5211,1.0,5.0,4.468048359240069,1.1947927688201232
Mechanic,5210,1.0,5.0,4.46852207293666,1.1926486299225176
Art Gallery,5204,1.0,5.0,4.496348962336664,0.9529515162930502
Auto Insurance Agency,5203,1.0,5.0,4.593311551028253,1.0826519232175
Wedding Photographer,5148,1.0,5.0,4.866355866355867,0.6139453222909509
Emergency Room,5119,1.0,5.0,3.7394022269974605,1.553297150600806
Jeweler,5082,1.0,5.0,4.292011019283747,1.3078311391018431
Family Practice Physician,5054,1.0,5.0,3.9637910565888403,1.5242854794002398
Dry Cleaner,5017,1.0,5.0,3.743272872234403,1.5342537278699517
Bagel Shop,4970,1.0,5.0,4.0804828973843055,1.1472233088617516
Mortgage Lender,4953,1.0,5.0,4.238845144356955,1.367789966704726
Pet Supply Store,4925,1.0,5.0,4.060913705583756,1.400919818548734
Caribbean Restaurant,4909,1.0,5.0,4.056426970869831,1.074200080417404
Dodge Dealer,4891,1.0,5.0,4.235330198323451,1.3810087109277867
Book Store,4890,1.0,5.0,4.183026584867076,1.155101201785419
Kennel,4888,1.0,5.0,4.37684124386252,1.2644789375826644
Preschool,4867,1.0,5.0,4.523114855146908,1.1031984269264665
Event Venue,4858,1.0,5.0,4.127006998764924,1.1832887488167845
Waxing Hair Removal Service,4763,1.0,5.0,4.532647491077053,1.0793461430036944
Spanish Restaurant,4750,1.0,5.0,4.144631578947369,0.9894833508415277
BMW Dealer,4738,1.0,5.0,4.338750527648797,1.3364939373484146
Men's Clothing Store,4681,1.0,5.0,4.011535996581927,1.29028065059676
Toy Store,4659,1.0,5.0,4.028976175144881,1.3228422417165282
Corporate Campus,4653,1.0,5.0,3.7315710294433697,1.567466164023967
Insurance Agency,4649,1.0,5.0,4.309959130995913,1.3454798499898368
Lodge,4624,1.0,5.0,3.9563148788927336,1.322624277141865
Electronics Repair Shop,4574,1.0,5.0,4.481198076082204,1.184479689678044
Teeth Whitening Service,4573,1.0,5.0,4.766892630658211,0.8105153659350391
Facial Spa,4544,1.0,5.0,4.404269366197183,1.1809960814020433
Taxi Service,4521,1.0,5.0,3.676841406768414,1.6602367684388424
Amusement Park,4508,1.0,5.0,4.111357586512866,1.1828688516136128
Korean Restaurant,4494,1.0,5.0,4.06386292834891,1.0711055772910303
Wedding Bakery,4473,1.0,5.0,4.30359937402191,1.1632906307965638
Pawn Shop,4444,1.0,5.0,3.9405940594059405,1.4616653647333953
Window Tinting Service,4346,1.0,5.0,4.44201564657156,1.2094647783866592
General Contractor,4342,1.0,5.0,4.333486872409028,1.3011354537323006
Liquor Store,4333,1.0,5.0,4.14493422570967,1.2218181684342984
Portrait Studio,4315,1.0,5.0,4.59351100811124,1.0597602868605023
Website Designer,4311,1.0,5.0,4.761076316399907,0.8331736498674135
Body Piercing Shop,4290,1.0,5.0,4.490442890442891,1.1449105968478832
Electrician,4283,1.0,5.0,4.600046696240953,1.007199676752916
Kia Dealer,4280,1.0,5.0,4.436214953271028,1.2391701158001915
Dessert Restaurant,4263,1.0,5.0,4.121041520056298,1.0824246051007798
International Airport,4263,1.0,5.0,3.7881773399014778,1.1927872686730636
Furnace Repair Service,4261,1.0,5.0,4.634123445200657,1.003117026002599
Car Inspection Station,4259,1.0,5.0,4.1413477342099085,1.4304699934175562
Southern Restaurant (US),4176,1.0,5.0,4.09889846743295,1.0537818898450093
Frozen Yogurt Shop,4171,1.0,5.0,4.382402301606329,0.9931502006686738
Attorney,4129,1.0,5.0,4.4221361104383625,1.2611149974138043
Thrift Store,4125,1.0,5.0,3.659878787878788,1.3298966525807834
Car Stereo Store,4120,1.0,5.0,4.116747572815534,1.4520618836265111
Wheel Alignment Service,4103,1.0,5.0,4.120887155739703,1.4561726556993568
Subaru Dealer,4090,1.0,5.0,4.406601466992665,1.2610792212417865
Bowling Alley,4080,1.0,5.0,3.6759803921568626,1.347425070923506
School,4075,1.0,5.0,4.224049079754601,1.2866562622961313
Dog Day Care Center,4072,1.0,5.0,4.427062868369352,1.2273331914905339
Day Care Center,4069,1.0,5.0,4.342836077660359,1.2736208411905778
Urgent Care Facility,4068,1.0,5.0,3.8225172074729596,1.5725905126669202
Used Truck Dealer,4052,1.0,5.0,4.286031589338598,1.346204277236374
Beer Store,4017,1.0,5.0,4.365446850883744,1.0184459128574301
Yoga Studio,3999,1.0,5.0,4.591897974493623,0.9797828130630708
Skin Care Clinic,3974,1.0,5.0,4.459486663311525,1.1631320874713227
Conference Center,3935,1.0,5.0,3.9344345616264293,1.2861038332412706
Auto Electrical Service,3907,1.0,5.0,4.512925518300486,1.1453614527660216
Shooting Range,3821,1.0,5.0,4.01596440722324,1.3679221613712254
Public Library,3812,1.0,5.0,4.294596012591815,1.0659404247915427
South American Restaurant,3794,1.0,5.0,4.168950975224038,1.026758062225317
Bathroom Remodeler,3772,1.0,5.0,4.654559915164369,0.9493806784543439
Zoo,3734,1.0,5.0,4.278789501874665,1.0409226635897257
Internet Marketing Service,3719,1.0,5.0,4.727883839741866,0.8728494583421165
Locksmith,3716,1.0,5.0,4.726049515608181,0.8885571965219875
Motorcycle Dealer,3714,1.0,5.0,4.087506731287022,1.4449742310861537
Recreation Center,3699,1.0,5.0,4.122735874560692,1.2253273988764735
Acupuncture Clinic,3696,1.0,5.0,4.798701298701299,0.7496022880970745
Aquarium,3656,1.0,5.0,4.081509846827133,1.2280031799739497
Restaurants,3634,1.0,5.0,3.9969730324711064,1.2746838042487143
Apartments,3634,1.0,5.0,3.0759493670886076,1.5372284423519003
Personal Injury Attorney,3632,1.0,5.0,4.737334801762114,0.8689093251196173
Tanning Salon,3627,1.0,5.0,4.170388751033912,1.3539079258857845
Vegan Restaurant,3618,1.0,5.0,4.31951354339414,0.9356754894001996
Limousine Service,3601,1.0,5.0,4.25520688697584,1.3742133983229583
Golf Club,3593,1.0,5.0,3.934873364876148,1.232309152923897
New American Restaurant,3591,1.0,5.0,4.260373155109997,0.9152911922257643
Weight Loss Service,3584,1.0,5.0,4.603236607142857,0.9914232328394237
Shipping Service,3560,1.0,5.0,3.238202247191011,1.691756826990678
Real Estate Consultant,3510,1.0,5.0,4.643874643874644,1.008208445909261
Hot Dog Restaurant,3505,1.0,5.0,4.114122681883024,1.0215082701103133
Concert Hall,3487,1.0,5.0,4.082018927444795,1.1430327982346615
Kindergarten,3467,1.0,5.0,4.221805595615806,1.2817723746286083
Home Goods Store,3457,1.0,5.0,3.744286954006364,1.4427690939212396
Elementary School,3411,1.0,5.0,4.177660510114336,1.288152389264543
Muffler Shop,3409,1.0,5.0,4.349369316515107,1.3033116387527894
Truck Dealer,3381,1.0,5.0,4.14019520851819,1.4499079210880372
RV Park,3373,1.0,5.0,3.9798399051289652,1.2910667049076072
Martial Arts School,3318,1.0,5.0,4.782700421940929,0.7796644772474379
Loan Agency,3316,1.0,5.0,3.9010856453558502,1.5291591249654415
Art Museum,3286,1.0,5.0,4.488435788192331,0.8226364713920267
Apartment Complex,3284,1.0,5.0,3.139768574908648,1.5812684968492587
Winery,3283,1.0,5.0,4.368869936034115,1.0666826401525298
Mazda Dealer,3283,1.0,5.0,4.367956137678952,1.2833615054661394
Telephone Company,3268,1.0,5.0,3.164014687882497,1.6949923659681276
Entertainment,3263,1.0,5.0,4.029727244866687,1.296852348523618
Boutique,3258,1.0,5.0,4.2750153468385514,1.236978383069794
Painter,3239,1.0,5.0,4.695585057116394,0.8486167333942067
Private School,3228,1.0,5.0,4.285006195786865,1.334135549120148
Commercial Printer,3227,1.0,5.0,4.154322900526805,1.4103886977850977
Butcher Shop,3222,1.0,5.0,4.411545623836127,1.0697921733936728
Auto Body Parts Supplier,3176,1.0,5.0,4.305100755667507,1.324435088936307
Mercedes Benz Dealer,3167,1.0,5.0,4.477423429112725,1.2067058074014592
Computer Consultant,3164,1.0,5.0,4.642541087231352,0.9907434320275887
Car Repair and Maintenance,3155,1.0,5.0,4.014263074484944,1.4963873385940847
Air Conditioning Contractor,3147,1.0,5.0,4.316174134095965,1.3217827277320344
Water Park,3130,1.0,5.0,3.978274760383387,1.2489078237496547
Jeep Dealer,3119,1.0,5.0,4.21577428663033,1.4094185046318848
Jewelry Store,3093,1.0,5.0,4.326543808600064,1.2337154982277108
Middle School,3060,1.0,5.0,3.926143790849673,1.4136712233745623
Emergency Veterinarian Service,3049,1.0,5.0,4.289275172187603,1.3460912717884639
Comic Book Store,3035,1.0,5.0,4.32487644151565,1.1518910290775504
Appliance Repair Service,3024,1.0,5.0,4.064153439153439,1.4946762104660172
Motorcycle Repair Shop,3019,1.0,5.0,4.2762504140443856,1.3288867813935166
Tax Preparation Service,3006,1.0,5.0,4.437458416500332,1.2220576987478566
Photo Shop,2996,1.0,5.0,3.619826435246996,1.4950092053637372
Print Shop,2987,1.0,5.0,4.02310010043522,1.4726129086277406
Laundromat,2968,1.0,5.0,3.736522911051213,1.436436735206524
Health Food Store,2964,1.0,5.0,4.230431848852901,1.136575528019215
House Cleaning Service,2962,1.0,5.0,4.4966239027684,1.1124644940852564
Air Duct Cleaning Service,2919,1.0,5.0,4.618362452894827,1.011051979059834
Garden Center,2915,1.0,5.0,4.137221269296741,1.3264522081974481
Laser Hair Removal Service,2894,1.0,5.0,4.461644782308224,1.1450675071211174
Pediatrician,2872,1.0,5.0,3.9066852367688023,1.537524557090124
Salad Shop,2868,1.0,5.0,3.9919804741980474,1.1507895336321579
Lawn Care Service,2868,1.0,5.0,4.406206415620642,1.199896740965117
Motorcycle Parts Store,2852,1.0,5.0,4.303997194950911,1.2925920697763364
Lumber Store,2848,1.0,5.0,3.648876404494382,1.447461400025658
Theme Park,2847,1.0,5.0,4.239901650860555,1.1292363311810563
Game Store,2847,1.0,5.0,4.277133825079031,1.202062734633516
Moving Supply Store,2829,1.0,5.0,4.368681512902086,1.2525031770990662
Airport Shuttle Service,2814,1.0,5.0,4.067164179104478,1.485360002511112
Event Planner,2805,1.0,5.0,4.4171122994652405,1.1264519255899736
Kitchen Remodeler,2798,1.0,5.0,4.64903502501787,0.9422647457666038
Physical Therapy Clinic,2787,1.0,5.0,4.410477215644062,1.2366173881672466
Home Insurance Agency,2783,1.0,5.0,4.716852317642831,0.9258799273859506
Legal Services,2780,1.0,5.0,4.585971223021582,1.088136966317174
Upholstery Cleaning Service,2777,1.0,5.0,4.707958228303925,0.859795675403067
Auto Wrecker,2758,1.0,5.0,3.5558375634517767,1.6896386771585739
Tree Service,2735,1.0,5.0,4.445338208409506,1.1464742016967768
Brazilian Restaurant,2732,1.0,5.0,4.234626647144949,1.0506409125159717
Plastic Surgeon,2719,1.0,5.0,4.691798455314454,0.9536204019758462
Gourmet Grocery Store,2717,1.0,5.0,4.341553183658447,1.000191190405911
Buick Dealer,2716,1.0,5.0,4.5320324005891015,1.129907048304422
Cosmetics Store,2701,1.0,5.0,3.864864864864865,1.4036560298913174
Soul Food Restaurant,2696,1.0,5.0,4.078635014836795,1.0692756511432697
Golf Course,2693,1.0,5.0,4.028221314519124,1.1720264736828996
Cable Company,2690,1.0,5.0,2.033457249070632,1.377850181331583
Garage Door Supplier,2681,1.0,5.0,4.670272286460276,0.9678643787655193
Window Installation Service,2681,1.0,5.0,4.587840358075345,1.0286136873425948
Storage Facility,2668,1.0,5.0,4.7901049475262365,0.7374646142177645
Medical Spa,2668,1.0,5.0,4.495877061469265,1.1332243679850147
Outdoor Sports Store,2656,1.0,5.0,4.068524096385542,1.3301556221285413
Wedding Store,2653,1.0,5.0,4.237843950245006,1.3544129966088196
Acura Dealer,2622,1.0,5.0,4.495423340961098,1.1728593430458032
Graphic Designer,2617,1.0,5.0,4.6599159342758885,0.9925804994941837
Trucking Company,2612,1.0,5.0,3.7040581929555896,1.5649156296925961
Internist,2611,1.0,5.0,3.875526618153964,1.5433141121044363
German Restaurant,2600,1.0,5.0,4.126923076923077,1.071530817767958
Marketing Consultant,2581,1.0,5.0,4.468810538550949,1.180713758699338
Sports Massage Therapist,2573,1.0,5.0,4.690633501748931,0.8874764289232159
Internet Service Provider,2554,1.0,5.0,2.7149569303054033,1.6896366970861971
Wellness Program,2541,1.0,5.0,4.644234553325463,0.9631779821393551
ATV Dealer,2535,1.0,5.0,4.14792899408284,1.4158208881702568
State Park,2533,1.0,5.0,4.410185550730359,0.9012930006287021
Baptist Church,2519,1.0,5.0,4.1361651448987695,1.4535835801574912
Convention Center,2511,1.0,5.0,3.9780963759458383,1.2274735658462896
Cuban Restaurant,2508,1.0,5.0,4.10725677830941,1.0219271170502975
Lexus Dealer,2507,1.0,5.0,4.6521739130434785,0.9791716885205198
Sports Complex,2507,1.0,5.0,3.8919026725169523,1.3334222938244413
Cigar Shop,2470,1.0,5.0,4.392712550607287,1.153484310004634
Auto Dent Removal Service,2464,1.0,5.0,4.579951298701299,1.0757447625792773
Karate School,2454,1.0,5.0,4.850040749796251,0.639383810814445
Sports Club,2445,1.0,5.0,3.874437627811861,1.4432035469045823
Car Leasing Service,2441,1.0,5.0,4.403523146251536,1.2593144278753483
Audi Dealer,2425,1.0,5.0,4.471340206185567,1.2088538444732715
Driving School,2420,1.0,5.0,4.43595041322314,1.189570273038779
Photographer,2417,1.0,5.0,4.788994621431526,0.7683697524915378
Gastropub,2411,1.0,5.0,4.175031107424306,0.9958704928106943
Mailing Service,2384,1.0,5.0,3.30998322147651,1.6932046059876125
Jewelry Designer,2376,1.0,5.0,4.6797138047138045,0.9329663400905633
Adult Entertainment Club,2367,1.0,5.0,3.7380650612589776,1.385164777753986
National Park,2357,1.0,5.0,4.571913449299958,0.8098137114020281
Oyster Bar Restaurant,2356,1.0,5.0,4.031833616298812,1.0881747078525654
Jewelry Repair Service,2356,1.0,5.0,4.587011884550085,1.0598166255012462
Department of Motor Vehicles,2344,1.0,5.0,3.095136518771331,1.591937721474744
Manufacturer,2341,1.0,5.0,4.077744553609569,1.3696731301435412
